,Name,Address1,Address2,Address3,Address4,Postal,lng,lat,full_address
0,126 CONNECTION BAKERY,45,OWEN ROAD,01-297,,210045,103.8508245,1.315593,45 OWEN ROAD 01-297 
1,13 MILES,596B,SEMBAWANG ROAD,,SEMBAWANG SPRINGS ESTATE,758455,103.8249225,1.4409,596B SEMBAWANG ROAD  SEMBAWANG SPRINGS ESTATE
2,149 Cafe @ TechnipFMC (Mngd By The Wok People),149,GUL CIRCLE,,,629605,103.6722375,1.32102,149 GUL CIRCLE  
3,1983 A Taste of Nanyang,E1,WOODLANDS AVENUE 9,02,REPUBLIC POLYTECHNIC (Food Court A),738964,103.7834055,1.444689,E1 WOODLANDS AVENUE 9 02 REPUBLIC POLYTECHNIC (Food Court A)
4,1983 A Taste of Nanyang,2,Ang Mo Kio Drive,02-10,ITE College Central,567720,103.8570435,1.379052,2 Ang Mo Kio Drive 02-10 ITE College Central
5,1983 A Taste of Nanyang,70,STAMFORD ROAD,01-21,SINGAPORE MANAGEMENT UNIVERSITY,178901,103.8501045,1.296657,70 STAMFORD ROAD 01-21 SINGAPORE MANAGEMENT UNIVERSITY
6,1983 Cafe Nanyang,60,AIRPORT BOULEVARD,0  2 6-018-09,CHANGI AIRPORT TERMINAL 2,819643,103.9895145,1.3541940000000001,60 AIRPORT BOULEVARD 0  2 6-018-09 CHANGI AIRPORT TERMINAL 2
7,1983 Coffee & Toast,1,MARITIME SQUARE,02-21,"HARBOURFRONT CENTRE, TRANSIT AREA",099253,103.819437,1.26306,"1 MARITIME SQUARE 02-21 HARBOURFRONT CENTRE, TRANSIT AREA"
8,1983 Coffee & Toast,,1 Jurong East Street 21,01-01,"Tower C, Jurong Community Hospital",609606,103.7442825,1.334826," 1 Jurong East Street 21 01-01 Tower C, Jurong Community Hospital"
9,1983 Coffee & Toast,1,JOO KOON CIRCLE,02-32/33,FAIRPRICE HUB,629117,103.67899,1.32702,1 JOO KOON CIRCLE 02-32/33 FAIRPRICE HUB
10,1983 Coffee & Toast,1,MARITIME SQUARE,02-21,"HARBOURFRONT CENTRE, TRANSIT AREA",099253,103.819437,1.26306,"1 MARITIME SQUARE 02-21 HARBOURFRONT CENTRE, TRANSIT AREA"
11,1983 Coffee & Toast,2,SIMEI STREET 3,01-09/10,CHANGI GENERAL HOSPITAL,529889,103.9493385,1.340091,2 SIMEI STREET 3 01-09/10 CHANGI GENERAL HOSPITAL
12,21 On Rajah,1,JALAN RAJAH,01,DAYS HOTEL,329133,103.8475999994,1.3269000366,1 JALAN RAJAH 01 DAYS HOTEL
13,4 Fingers Crispy Chicken,50,Jurong Gateway Road,01-15A,JEM Shopping Mall,608549,103.743261,1.332549,50 Jurong Gateway Road 01-15A JEM Shopping Mall
14,4 Fingers Crispy Chicken,9,BISHAN PLACE,01-32,JUNCTION 8 SHOPPING CENTRE,579837,103.8485655,1.350711,9 BISHAN PLACE 01-32 JUNCTION 8 SHOPPING CENTRE
15,4 Fingers Crispy Chicken,930,Yishun Avenue 2,01-15,Northpoint Shopping Centre,769098,103.835979,1.429344,930 Yishun Avenue 2 01-15 Northpoint Shopping Centre
16,4 Fingers Crispy Chicken,277,ORCHARD ROAD,0 1-04/05,,238858,103.839327,1.300491,277 ORCHARD ROAD 0 1-04/05 
17,4 Fingers Crispy Chicken,65,AIRPORT BOULEVARD,B2-02,CHANGI AIRPORT TERMINAL 3,819663,103.9851675,1.354374,65 AIRPORT BOULEVARD B2-02 CHANGI AIRPORT TERMINAL 3
18,4 Fingers Crispy Chicken,80,Airport Boulevard,03-47,Changi Airport Terminal 1,819642,103.990842,1.362537,80 Airport Boulevard 03-47 Changi Airport Terminal 1
19,4 Fingers Crispy Chicken,2,ORCHARD TURN,B  4-06/06A,ION ORCHARD,238801,103.831722,1.30437,2 ORCHARD TURN B  4-06/06A ION ORCHARD
20,4 Fingers Crispy Chicken,68,ORCHARD ROAD,B1-07,PLAZA SINGAPURA,238839,103.8449835,1.3000319999999999,68 ORCHARD ROAD B1-07 PLAZA SINGAPURA
21,4 Fingers Crispy Chicken,1,WOODLANDS SQUARE,0  1-38/39,CAUSEWAY POINT,738099,103.785984,1.435878,1 WOODLANDS SQUARE 0  1-38/39 CAUSEWAY POINT
22,4 Fingers Crispy Chicken,10,Tampines Central 1 #01 39/40/K3/K4,,Tampines 1,529536,103.94531,1.35377,10 Tampines Central 1 #01 39/40/K3/K4  Tampines 1
23,4 Fingers Crispy Chicken,302,Tiong Bahru Road,01-105,Tiong Bahru Plaza,168732,103.827809925,1.2865800255,302 Tiong Bahru Road 01-105 Tiong Bahru Plaza
24,4 Fingers Crispy Chicken,1,JURONG WEST CENTRAL 2,03-34,JURONG POINT SHOPPING CENTRE,648886,103.7067075,1.339632,1 JURONG WEST CENTRAL 2 03-34 JURONG POINT SHOPPING CENTRE
25,498 Yong Tau Foo (S7) @ 7 Stars,498,JURONG WEST STREET 41,01-426,,640498,103.724172,1.348731,498 JURONG WEST STREET 41 01-426 
26,7 Star Restaurant (Indian/Malay Food),768,UPPER SERANGOON ROAD,02-03,,534636,103.8789495,1.35423,768 UPPER SERANGOON ROAD 02-03 
27,A Poke Theory,27,Boon Tat Street,,,069623,103.8486555,1.281294,27 Boon Tat Street  
28,A Poke Theory,1,Lower Kent Ridge Road,02-12,One@Kent Ridge,119082,103.78396,1.29355,1 Lower Kent Ridge Road 02-12 One@Kent Ridge
29,A Poke Theory,,5 Straits View,B2-52,"Marina One, The heart",018935,103.8529395,1.277307," 5 Straits View B2-52 Marina One, The heart"
30,A Poke Theory,7,Fraser Street,01-36/37,Duo Galleria,189356,103.8584799889,1.2993500366,7 Fraser Street 01-36/37 Duo Galleria
31,A SPOONFUL OF SUGAR,4,CHANGI VILLAGE ROAD,01-2072,,500004,103.987494,1.389105,4 CHANGI VILLAGE ROAD 01-2072 
32,A1 AZEE WESTERN FOOD (S7) @ SOON HONG EATING HOUSE (A'POSH BIZHUB),1,Yishun Industrial Street 1,01-12,A'posh Bizhub,768160,103.842423,1.437057,1 Yishun Industrial Street 1 01-12 A'posh Bizhub
33,Adam Chicken,503,WEST COAST DRIVE,01-28,Ayer Rajah Food Centre,120503,103.7597535,1.311804,503 WEST COAST DRIVE 01-28 Ayer Rajah Food Centre
34,AH HUAT,2,BUKIT BATOK WEST AVENUE 7,01-09C,HOMETEAM NS,659003,103.7480355,1.366317,2 BUKIT BATOK WEST AVENUE 7 01-09C HOMETEAM NS
35,Ah Meng Bistro,80,Mandai Lake Road,,Singapore Zoological Restaurant,729826,103.790772,1.403136,80 Mandai Lake Road  Singapore Zoological Restaurant
36,Ah Meng Kitchen,80,Mandai Lake Road,,SINGAPORE ZOOLOGICAL GARDEN,729826,103.790772,1.403136,80 Mandai Lake Road  SINGAPORE ZOOLOGICAL GARDEN
37,AJ Delights,120,BUKIT MERAH LANE 1,01-82&83,Alexandra Village Food Centre,150120,103.8046455,1.286388,120 BUKIT MERAH LANE 1 01-82&83 Alexandra Village Food Centre
