"",COMPANY / EST. NAME,ADDRESS,"POSTALCODE",,,
"",126 CONNECTION BAKERY,45,OWEN ROAD,01-297,-,210045
"",13 MILES,596B,SEMBAWANG ROAD,-,SEMBAWANG SPRINGS ESTATE,7  5  8  4  5 5
"","149 Cafe @ TechnipFMC(Mngd By The Wok People)",149,GUL CIRCLE,-,-,629605
"",1983 A Taste of Nanyang,E1,WOODLANDS AVENUE 9,02,"REPUBLIC POLYTECHNIC(Food Court A)",738964
"",1983 A Taste of Nanyang,2,Ang Mo Kio Drive,02-10,ITE College Central,567720
"",1983 A Taste of Nanyang,70,STAMFORD ROAD,01-21,"SINGAPORE MANAGEMENTUNIVERSITY",178901
"",1983 Cafe Nanyang,60,AIRPORT BOULEVARD,0  2 6-018-09,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"",1983 Coffee & Toast,1,MARITIME SQUARE,02-21,"HARBOURFRONT CENTRE, TRANSITAREA",099253
"",1983 Coffee & Toast,,1 Jurong East Street 21,01-01,"Tower C, Jurong Community Hospital",609606
"",1983 Coffee & Toast,1,JOO KOON CIRCLE,02-32/33,FAIRPRICE HUB,629117
"",1983 Coffee & Toast,1,MARITIME SQUARE,02-21,"HARBOURFRONT CENTRE, TRANSITAREA",099253
"",1983 Coffee & Toast,2,SIMEI STREET 3,01-09/10,CHANGI GENERAL HOSPITAL,5  2  9  8  89
"",21 On Rajah,1,JALAN RAJAH,01,DAYS HOTEL,329133
"",4 Fingers Crispy Chicken,50,Jurong Gateway Road,01-15A,JEM Shopping Mall,608549
"",4 Fingers Crispy Chicken,9,BISHAN PLACE,01-32,JUNCTION 8 SHOPPING CENTRE,5  7  9  8 37
"",4 Fingers Crispy Chicken,930,Yishun Avenue 2,01-15,Northpoint Shopping Centre,7  6  9  0  9  8
"",4 Fingers Crispy Chicken,277,ORCHARD ROAD,0 1-04/05,-,238858
"",4 Fingers Crispy Chicken,65,AIRPORT BOULEVARD,B2-02,CHANGI AIRPORT TERMINAL 3,8  1  9  663
"",4 Fingers Crispy Chicken,80,Airport Boulevard,03-47,Changi Airport Terminal 1,819642
"",4 Fingers Crispy Chicken,2,ORCHARD TURN,B  4-06/06A,ION ORCHARD,2  3  8  8 01
"",4 Fingers Crispy Chicken,68,ORCHARD ROAD,B1-07,PLAZA SINGAPURA,2  3  8  8 39
"",4 Fingers Crispy Chicken,1,WOODLANDS SQUARE,0  1-38/39,CAUSEWAY POINT,7  3  8  0 99
"",4 Fingers Crispy Chicken,10,"Tampines Central 1 #0139/40/K3/K4",-,Tampines 1,529536
"",4 Fingers Crispy Chicken,302,Tiong Bahru Road,01-105,Tiong Bahru Plaza,1  6 8732
"",4 Fingers Crispy Chicken,1,JURONG WEST CENTRAL 2,03-34,JURONG POINT SHOPPING CENTRE,6  4  8  8   8  6
"",498 Yong Tau Foo (S7) @ 7 Stars,498,JURONG WEST STREET 41,01-426,-,640498
"","7 Star Restaurant (Indian/MalayFood)",768,UPPER SERANGOON ROAD,02-03,-,534636
"",A Poke Theory,27,Boon Tat Street,-,-,069623
"",A Poke Theory,1,Lower Kent Ridge Road,02-12,One@Kent Ridge,119082
"",A Poke Theory,,5 Straits View,B2-52,"Marina One, The heart",018935
"",A Poke Theory,7,Fraser Street,01-36/37,Duo Galleria,189356
"",A SPOONFUL OF SUGAR,4,CHANGI VILLAGE ROAD,01-2072,-,500004
"","A1 AZEE WESTERN FOOD (S7) @SOON HONG EATING HOUSE(A'POSH BIZHUB)",1,Yishun Industrial Street 1,01-12,A'posh Bizhub,768160
"",Adam Chicken,503,WEST COAST DRIVE,01-28,Ayer Rajah Food Centre,120503
"",AH HUAT,2,BUKIT BATOK WEST AVENUE 7,01-09C,HOMETEAM NS,659003
"",Ah Meng Bistro,80,Mandai Lake Road,-,Singapore Zoological Restaurant,729826
"",Ah Meng Kitchen,80,Mandai Lake Road,-,SINGAPORE ZOOLOGICAL GARDEN,729826
"",AJ Delights,120,BUKIT MERAH LANE 1,01-82&83,Alexandra Village Food Centre,150120
"","Ajuma Japanese & Korean Cuisine(R10) @ Staff Canteen By KopitiamChangi Airport Terminal 2",60,AIRPORT BOULEVARD,3M-10,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"",AL AZHAR,201D,TAMPINES STREET 21,01-1155,-,524201
"",AL AZHAR,11/12,CHEONG CHIN NAM ROAD,-,-,599746
"",AL MADINA Famous Prata Corner,155,Bukit Batok St 11,01-324,-,650155
"",AL MADINA Famous Prata Corner,177,Bukit Batok West Ave 8,01-247,-,650177
"",AL MADINA Famous Prata Corner,257,"Bangkit Road Bukit Panjang NewTown",01-61,Zhenghua 257 Coffee House,670257
"",AL MADINA Famous Prata Corner,167,Woodlands St 11,01-07,-,730167
"",AL MADINA Famous Prata Corner,635C,Senja Road,01-01,-,673635
